,school_name,address,Ambitious_Instruction,Collaborative_Teachers,Effective_Leaders,Involved_Families,Supportive_Environment,signed_silhouettes,income
147,Dewey Elementary Academy of Fine Arts,"5415 S Union Ave, Chicago, IL 60609",91.0,78.0,74.0,74.0,80.0,-0.7006500737670462,31357.0
148,Disney II Magnet High School,"3900 N Lawndale Ave, Chicago, IL 60618",74.0,76.0,58.0,93.0,58.0,-0.6105751631027669,55303.0
149,Disney II Magnet School,"3815 N Kedvale Ave, Chicago, IL 60641",92.0,86.0,67.0,94.0,68.0,-0.7283172054437121,54544.0
150,Donald Morrill Math & Science Elementary School,"6011 S Rockwell St, Chicago, IL 60629",44.0,21.0,15.0,35.0,31.0,0.6695457628814342,50099.0
151,Douglas Taylor Elementary School,"9912 S Avenue H, Chicago, IL 60617",46.0,32.0,8.0,51.0,33.0,0.6620013034280808,43572.0
152,Dr Martin Luther King Jr College Prep HS,"4445 S Drexel Blvd, Chicago, IL 60653",81.0,41.0,39.0,53.0,56.0,0.45054181221259787,18464.0
153,Dr Jorge Prieto Math and Science,"2231 N Central Ave, Chicago, IL 60639",65.0,46.0,39.0,51.0,26.0,0.70334190299451,50923.0
154,Dr. Martin L. King Jr Academy of Social Justice,"644 W 71st St, Chicago, IL 60621",52.0,42.0,45.0,29.0,47.0,0.6485170449943353,23875.0
155,Dunne Technology Academy,"10845 S Union Ave, Chicago, IL 60628",99.0,84.0,68.0,71.0,99.0,-0.6511317632323591,47232.0
156,Durkin Park Elementary School,"8445 S Kolin Ave, Chicago, IL 60652",74.0,67.0,68.0,75.0,47.0,-0.4023970881347673,64997.0
157,Dvorak Technology Academy,"3615 W 16th St, Chicago, IL 60623",90.0,71.0,62.0,46.0,67.0,-0.35218615613569687,34670.0
158,EPIC Academy Charter High School,"8255 S Houston Ave, Chicago, IL 60617",87.0,59.0,57.0,60.0,63.0,-0.3153686195194839,43572.0
159,Edgar Allan Poe Elementary Classical School,"10538 S Langley Ave, Chicago, IL 60628",90.0,60.0,46.0,89.0,49.0,-0.3723367067546997,47232.0
160,Edgebrook Elementary School,"6525 N Hiawatha Ave, Chicago, IL 60646",70.0,58.0,63.0,70.0,57.0,-0.19742707124626002,74229.0
