,school_name,address,Ambitious_Instruction,Collaborative_Teachers,Effective_Leaders,Involved_Families,Supportive_Environment,signed_silhouettes,income
117,Chicago Collegiate Charter School,"11816 S Indiana, Chicago, IL 60628",45.0,43.0,40.0,45.0,25.0,0.7109750191056018,47232.0
118,Chicago High School for Agricultural Sciences,"3857 W 111th St, Chicago, IL 60655",64.0,74.0,66.0,86.0,63.0,-0.4958281107999499,73296.0
119,Chicago High School for the Arts (ChiArts),"2714 W Augusta Blvd, Chicago, IL 60622",70.0,34.0,24.0,53.0,60.0,0.6063315695344679,54344.0
120,Chicago Math and Science Academy Charter School,"7212 N Clark St, Chicago, IL 60626",75.0,60.0,53.0,65.0,53.0,0.01812961428979757,38951.0
121,Chicago Military Academy High School,"3519 S Giles Ave, Chicago, IL 60653",75.0,54.0,60.0,67.0,44.0,0.12280594580976574,18464.0
122,Chicago Technology Academy High School,"1301 W 14th St, Chicago, IL 60608",65.0,78.0,64.0,67.0,64.0,-0.4848416889069093,33821.0
123,Chicago Virtual Charter School,"38 S Peoria St, Chicago, IL 60607",57.0,57.0,43.0,60.0,59.0,0.42516818372216725,59427.0
124,Chicago Vocational Career Academy High School,"2100 E 87th St, Chicago, IL 60617",82.0,60.0,56.0,60.0,55.0,-0.11704942229864193,43572.0
125,Christian Ebinger Elementary School,"7350 W Pratt Ave, Chicago, IL 60631",81.0,85.0,76.0,95.0,60.0,-0.6591012643033055,67465.0
126,Christian Fenger Academy High School,"11220 S Wallace St, Chicago, IL 60628",96.0,78.0,71.0,58.0,74.0,-0.6493807450376441,47232.0
127,Christopher Columbus Elementary School,"1003 N Leavitt St, Chicago, IL 60622",95.0,86.0,72.0,97.0,82.0,-0.7148404782871317,54344.0
128,Christopher House Charter School,"5235 W Belden Ave, Chicago, IL 60639",,56.0,52.0,78.0,,0.10066091499988258,50923.0
129,Clara Barton Elementary School,"7650 S Wolcott Ave, Chicago, IL 60620",82.0,59.0,51.0,56.0,52.0,0.17953419867030435,45717.0
130,Claremont Academy Elementary School,"2300 W 64th St, Chicago, IL 60636",97.0,66.0,60.0,62.0,80.0,-0.549046496735028,33080.0
131,Collins Academy High School,"1313 S Sacramento Dr, Chicago, IL 60623",89.0,74.0,68.0,45.0,80.0,-0.4557807855144135,34670.0
132,Columbia Explorers Elementary Academy,"4520 S Kedzie Ave, Chicago, IL 60632",75.0,65.0,69.0,61.0,54.0,-0.35113757857879874,46811.0
133,Consuella B York Alternative HS,"2700 S California Ave, Chicago, IL 60608",64.0,59.0,64.0,40.0,40.0,0.4797855430388816,33821.0
134,Countee Cullen Elementary School,"10650 S Eberhart Ave, Chicago, IL 60628",98.0,63.0,58.0,36.0,70.0,-0.15091935397581138,47232.0
135,Crown Community Academy of Fine Arts Center ES,"2128 S Saint Louis Ave, Chicago, IL 60623",92.0,75.0,65.0,66.0,86.0,-0.6433080153466609,34670.0
136,Cyrus H McCormick Elementary School,"2712 S Sawyer Ave, Chicago, IL 60623",,62.0,64.0,71.0,,-0.33215968747576163,34670.0
137,Daniel Boone Elementary School,"6710 N Washtenaw Ave, Chicago, IL 60645",86.0,79.0,67.0,73.0,62.0,-0.7142568166206446,52022.0
138,Daniel C Beard Elementary School,"6445 W Strong St, Chicago, IL 60656",,92.0,83.0,99.0,,-0.6726517026448526,59157.0
139,Daniel Hale Williams Prep School of Medicine,"4934 S Wabash Ave, Chicago, IL 60615",88.0,89.0,80.0,95.0,62.0,-0.719592831612821,41344.0
140,Daniel J Corkery Elementary School,"2510 S Kildare Ave, Chicago, IL 60623",64.0,54.0,46.0,70.0,35.0,0.48936910655734217,34670.0
141,Daniel R Cameron Elementary School,"1234 N Monticello Ave, Chicago, IL 60651",95.0,68.0,63.0,65.0,58.0,-0.5684100885752802,41711.0
142,Daniel S Wentworth Elementary School,"1340 W 71st St, Chicago, IL 60636",67.0,37.0,48.0,43.0,33.0,0.698026692152094,33080.0
143,Daniel Webster Elementary School,"4055 W Arthington St, Chicago, IL 60624",82.0,52.0,52.0,45.0,85.0,-0.016678139273919857,28695.0
144,David G Farragut Career Academy High School,"2345 S Christiana Ave, Chicago, IL 60623",70.0,55.0,50.0,54.0,58.0,0.3932530369361683,34670.0
145,DeVry University Advantage Academy HS,"3300 N Campbell Ave, Chicago, IL 60618",85.0,92.0,82.0,,85.0,-0.7090079656605229,55303.0
146,DeWitt Clinton Elementary School,"6110 N Fairfield Ave, Chicago, IL 60659",98.0,79.0,71.0,80.0,94.0,-0.6819831338623482,55851.0
