,Unnamed: 0,Address,Ambitious_Instruction,Collaborative_Teachers,Effective_Leaders,Involved_Families,Supportive_Environment,latitude,longitude
52,Asian Human Services - Passages Charter School,"1643 W Bryn Mawr Ave, Chicago, IL 60660",57,65,45,61,30,41.983319,-87.6711641
53,Augustus H Burley Elementary School,"1630 W Barry Ave, Chicago, IL 60657",85,54,57,84,54,41.9381198,-87.6697849
54,Austin College and Career Academy High School,"231 N Pine Ave, Chicago, IL 60644",70,67,52,58,45,41.885368,-87.762958
55,Avalon Park Elementary School,"8045 S Kenwood Ave, Chicago, IL 60619",94,35,40,22,77,41.7488548,-87.5911703
56,Back of the Yards IB HS,"2111 W 47th St, Chicago, IL 60609",86,71,49,67,73,41.80774359999999,-87.6776045
57,Barbara Vick Early Childhood & Family Center,"2554 W 113th St, Chicago, IL 60655",-1,63,69,92,-1,41.68861460000001,-87.68565600000001
58,Belmont-Cragin Elementary School,"5252 W Palmer St, Chicago, IL 60639",67,77,61,86,54,41.9210111,-87.7581124
59,Benito Juarez Community Academy High School,"1450 W Cermak Rd, Chicago, IL 60608",77,78,59,84,62,41.8530157,-87.6644329
60,Benjamin E Mays Elementary Academy,"6656 S Normal Blvd, Chicago, IL 60621",56,32,31,26,42,41.772998,-87.6373493
61,Bernhard Moos Elementary School,"1711 N California Ave, Chicago, IL 60647",75,69,65,65,58,41.9129724,-87.696402
62,Beulah Shoesmith Elementary School,"1330 E 50th St, Chicago, IL 60615",74,74,60,53,42,41.8049276,-87.5941802
63,Blair Early Childhood Center,"6751 W 63rd Pl, Chicago, IL 60638",-1,73,81,86,-1,41.7763768,-87.7896291
64,Bowen High School,"2710 E 89th St, Chicago, IL 60617",58,47,48,67,45,41.73427179999999,-87.5575844
65,Bret Harte Elementary School,"1556 E 56th St, Chicago, IL 60637",70,53,54,67,46,41.7937072,-87.5868057
66,Brian Piccolo Elementary Specialty School,"1040 N Keeler Ave, Chicago, IL 60651",83,79,74,55,71,41.9003529,-87.7321137
67,Bridgescape Academy Brainerd,"8908 S Ashland Ave, Chicago, IL 60620",50,-1,-1,-1,53,41.7315663,-87.6633147
68,Bridgescape Academy Humboldt Park,"2421 W Division, Chicago, IL 60622",44,49,37,-1,71,41.9026939,-87.687963
69,Bridgescape Academy Lawndale,"230 N Kolmar Ave, Chicago, IL 60624",44,-1,-1,-1,50,41.8842896,-87.7394384
70,Bridgescape Academy Roseland,"10928 S Halsted Ave, Chicago, IL 60661",46,-1,-1,-1,64,41.6950729,-87.64280959999999
71,Brighton Park Elementary School,"3825 S Washtenaw Ave, Chicago, IL 60632",52,46,57,42,25,41.8240076,-87.6917699
72,Bronzeville Scholastic Academy High School,"4934 S Wabash Ave, Chicago, IL 60615",71,24,24,30,43,41.804644,-87.62550030000001
73,Burnham Elementary Inclusive Academy,"9928 S Crandon Ave, Chicago, IL 60617",70,31,42,50,45,41.7145,-87.56737509999999
74,Burnside Elementary Scholastic Academy,"650 E 91st Pl, Chicago, IL 60619",81,44,49,46,59,41.7287519,-87.6076066
75,CICS - Avalon/South Shore,"1501 E 83rd Pl, Chicago, IL 60619",92,58,60,46,40,41.7429554,-87.5876955
76,CICS - Basil,"1816 W Garfield Blvd, Chicago, IL 60609",71,47,39,31,44,41.7942144,-87.6699027
