,Unnamed: 0,Address,Ambitious_Instruction,Collaborative_Teachers,Effective_Leaders,Involved_Families,Supportive_Environment,latitude,longitude
215,Frederick Stock Elementary School,"7507 W Birchwood Ave, Chicago, IL 60631",-1,77,66,98,-1,42.0164659,-87.81459629999999
216,Friedrich L. Jahn Elementary of the Fine Arts,"3149 N Wolcott Ave, Chicago, IL 60657",59,36,32,53,50,41.9390936,-87.67531249999999
217,Friedrich W von Steuben Metropolitan Science HS,"5039 N Kimball Ave, Chicago, IL 60625",75,68,48,74,63,41.9732156,-87.7130686
218,Gage Park High School,"5630 S Rockwell St, Chicago, IL 60629",49,62,51,72,40,41.7910374,-87.6894698
219,Galileo Math & Science Scholastic Academy ES,"820 S Carpenter St, Chicago, IL 60607",68,46,56,57,38,41.8709847,-87.65353010000001
220,Genevieve Melody Elementary School,"3937 W Wilcox St, Chicago, IL 60624",82,56,50,48,67,41.8784114,-87.72418809999999
221,George Armstrong International Studies ES,"2110 W Greenleaf Ave, Chicago, IL 60645",86,91,77,87,58,42.0105946,-87.68453919999999
222,George B McClellan Elementary School,"3527 S Wallace St, Chicago, IL 60609",65,68,58,78,37,41.8303859,-87.64096250000001
223,George B Swift Elementary Specialty School,"5900 N Winthrop Ave, Chicago, IL 60660",66,45,41,66,40,41.9891867,-87.65849589999999
224,George F Cassell Elementary School,"11314 S Spaulding Ave, Chicago, IL 60655",90,63,61,72,71,41.6874598,-87.7037905
225,George H Corliss High School,"821 E 103rd St, Chicago, IL 60628",65,61,51,55,45,41.7066424,-87.6027457
226,George Leland Elementary School,"512 S Lavergne Ave, Chicago, IL 60644",72,91,83,90,28,41.8736402,-87.74972389999999
227,George M Pullman Elementary School,"11311 S Forrestville Ave, Chicago, IL 60628",78,40,45,57,55,41.6886423,-87.60884100000001
228,George Manierre Elementary School,"1420 N Hudson Ave, Chicago, IL 60610",64,50,44,52,36,41.9081325,-87.6406155
229,George Rogers Clark Elementary School,"1045 S Monitor Ave, Chicago, IL 60644",98,83,68,93,86,41.8679458,-87.7699914
230,George W Curtis Elementary School,"32 E 115th St, Chicago, IL 60628",81,63,65,61,46,41.6858836,-87.62218589999999
231,George W Tilton Elementary School,"223 N Keeler Ave, Chicago, IL 60624",75,67,60,54,59,41.8841096,-87.7300362
232,George Washington Carver Military Academy HS,"13100 S Doty Ave, Chicago, IL 60627",75,74,59,82,56,41.6565611,-87.5894723
233,George Washington Carver Primary School,"901 E 133rd Pl, Chicago, IL 60827",61,26,4,8,33,41.6531813,-87.6010096
234,George Washington Elementary School,"3611 E 114th St, Chicago, IL 60617",71,61,56,68,51,41.6878095,-87.5360311
235,George Washington High School,"3535 E 114th St, Chicago, IL 60617",64,55,38,56,53,41.6875577,-87.5388128
236,George Westinghouse College Prep,"3223 W Franklin Blvd, Chicago, IL 60624",91,82,76,89,72,41.889428,-87.7073041
237,Gerald Delgado Kanoon Elementary Magnet School,"2233 S Kedzie Ave, Chicago, IL 60623",78,70,53,74,58,41.8504934,-87.7048684
238,Great Lakes Academy Charter School,"8401 S Saginaw Ave, Chicago, IL 60617",-1,48,48,53,-1,41.74240229999999,-87.55970889999999
239,Greater Lawndale High School For Social Justice,"3120 S Kostner Ave, Chicago, IL 60623",83,85,66,74,56,41.8354286,-87.73565289999999
240,Grover Cleveland Elementary School,"3121 W Byron St, Chicago, IL 60618",76,58,57,65,41,41.9516974,-87.7059845
241,Gurdon S Hubbard High School,"6200 S Hamlin Ave, Chicago, IL 60629",69,72,65,74,53,41.7801987,-87.71864699999999
242,Gwendolyn Brooks College Preparatory Academy HS,"250 E 111th St, Chicago, IL 60628",72,66,52,71,51,41.6941786,-87.616941
243,Hannah G Solomon Elementary School,"6206 N Hamlin Ave, Chicago, IL 60659",72,44,42,57,58,41.9943827,-87.72489139999999
244,Hanson Park Elementary School,"5411 W Fullerton Ave, Chicago, IL 60639",60,41,49,57,32,41.9235012,-87.762649
245,Harold Washington Elementary School,"9130 S University Ave, Chicago, IL 60619",58,49,44,46,29,41.728524,-87.5966497
246,Harriet Beecher Stowe Elementary School,"3444 W Wabansia Ave, Chicago, IL 60647",60,35,38,56,43,41.9124946,-87.71314369999999
247,Harriet E Sayre Elementary Language Academy,"1850 N Newland Ave, Chicago, IL 60707",66,26,22,51,52,41.9137437,-87.7991567
248,Hawthorne Elementary Scholastic Academy,"3319 N Clifton Ave, Chicago, IL 60657",76,51,51,75,47,41.9422554,-87.6575749
249,Helen M Hefferan Elementary School,"4409 W Wilcox St, Chicago, IL 60624",97,61,60,57,92,41.8784137,-87.7361145
250,Helen Peirce International Studies ES,"1423 W Bryn Mawr Ave, Chicago, IL 60660",78,54,43,73,53,41.9830756,-87.6664354
251,Helge A Haugan Elementary School,"4540 N Hamlin Ave, Chicago, IL 60625",87,65,51,57,58,41.9637112,-87.7238033
252,Henry Clay Elementary School,"13231 S Burley Ave, Chicago, IL 60633",63,48,39,54,42,41.6545892,-87.5439894
253,Henry D Lloyd Elementary School,"2103 N Lamon Ave, Chicago, IL 60639",-1,53,53,59,-1,41.919018,-87.7482678
254,Henry H Nash Elementary School,"4837 W Erie St, Chicago, IL 60644",94,66,52,62,88,41.8917326,-87.7471147
255,Henry O Tanner Elementary School,"7350 S Evans Ave, Chicago, IL 60619",89,71,59,63,63,41.7607639,-87.6069893
256,Henry R Clissold Elementary School,"2350 W 110th Pl, Chicago, IL 60643",57,45,40,60,30,41.6934541,-87.68061089999999
257,Hiram H Belding Elementary School,"4257 N Tripp Ave, Chicago, IL 60641",72,78,75,90,54,41.958895,-87.733679
258,Hope College Preparatory High School,"5515 S Lowe Ave, Chicago, IL 60621",72,59,61,45,66,41.7935487,-87.6410011
259,Hope Institute Learning Academy,"1628 W Washington, Chicago, IL 60612",-1,89,84,95,-1,41.8837244,-87.6680542
260,Horace Greeley Elementary School,"832 W Sheridan Rd, Chicago, IL 60613",60,70,59,81,25,41.953063,-87.65067289999999
261,Horace Mann Elementary School,"8050 S Chappel Ave, Chicago, IL 60617",95,71,65,60,57,41.7485181,-87.5751142
262,Horizon Science Academy Southwest Chicago Charter,"5401 S Western Ave, Chicago, IL 60609",38,32,31,45,20,41.7953769,-87.681308
263,Hyde Park Academy High School,"6220 S Stony Island Ave, Chicago, IL 60637",64,47,43,37,49,41.7821025,-87.5870796
264,Hyman G Rickover Naval Academy High School,"5900 N Glenwood Ave, Chicago, IL 60660",68,62,59,78,63,41.9890422,-87.6668207
265,Ida B Wells Preparatory Elementary Academy,"249 E 37th St, Chicago, IL 60653",90,69,55,68,43,41.826885,-87.6197949
266,Infinity Math Science and Technology High School,"3120 S Kostner Ave, Chicago, IL 60623",72,63,52,62,56,41.8354286,-87.73565289999999
267,Instituto - Justice Lozano,"2570 S Blue Island Ave, Chicago, IL 60608",52,-1,-1,-1,67,41.8456193,-87.6841926
268,Instituto Health Sciences Career Academy,"2520 S Western Ave, Chicago, IL 60608",65,31,26,43,51,41.8457696,-87.6859219
269,Inter-American Elementary Magnet School,"851 W Waveland Ave, Chicago, IL 60613",70,49,38,85,20,41.9481651,-87.65155969999999
270,Intrinsic Charter School,"4540 W Belmont Ave, Chicago, IL 60641",75,53,45,84,66,41.9395782,-87.74103559999999
271,Ira F Aldridge Elementary School,"630 E 131st St, Chicago, IL 60827",87,71,58,70,37,41.6574136,-87.6074687
272,Irene C. Hernandez Middle School for the Advancement of Science,"3510 W 55th St, Chicago, IL 60632",66,44,37,48,36,41.7938036,-87.7116341
273,Irma C Ruiz Elementary School,"2410 S Leavitt St, Chicago, IL 60608",87,91,78,94,53,41.8477733,-87.6813811
274,Irvin C Mollison Elementary School,"4415 S Dr Martin L King Jr Dr, Chicago, IL 60653",57,17,23,29,42,41.8142409,-87.61596589999999
275,Isabelle C O'Keeffe Elementary School,"6940 S Merrill Ave, Chicago, IL 60649",82,35,45,37,69,41.7687563,-87.57302949999999
276,Jackie Robinson Elementary School,"4225 S Lake Park Ave, Chicago, IL 60653",-1,74,75,88,-1,41.817166,-87.5983566
277,Jacob Beidler Elementary School,"3151 W Walnut St, Chicago, IL 60612",92,63,53,61,84,41.8850841,-87.7048684
278,Jacqueline B Vaughn Occupational High School,"4355 N Linder Ave, Chicago, IL 60641",73,86,70,91,57,41.9603258,-87.7644175
279,James B Farnsworth Elementary School,"5414 N Linder Ave, Chicago, IL 60630",60,84,76,89,38,41.9800274,-87.76641649999999
280,James B McPherson Elementary School,"4728 N Wolcott Ave, Chicago, IL 60640",75,84,70,81,51,41.9684981,-87.67668100000002
281,James E McDade Elementary Classical School,"8801 S Indiana Ave, Chicago, IL 60619",41,-1,-1,-1,17,41.7343086,-87.61875359999999
282,James G Blaine Elementary School,"1420 W Grace St, Chicago, IL 60613",66,64,68,89,43,41.9509176,-87.6649714
283,James Hedges Elementary School,"4747 S Winchester Ave, Chicago, IL 60609",50,37,28,50,22,41.8072912,-87.67310049999999
284,James Madison Elementary School,"7433 S Dorchester Ave, Chicago, IL 60619",80,63,61,62,57,41.7599536,-87.5904757
285,James Monroe Elementary School,"3651 W Schubert Ave, Chicago, IL 60647",65,66,58,63,39,41.929614,-87.71880089999999
286,James N Thorp Elementary School,"8914 S Buffalo Ave, Chicago, IL 60617",82,48,49,53,67,41.7331839,-87.54476199999999
287,James Otis Elementary School,"525 N Armour St, Chicago, IL 60622",66,45,30,53,43,41.8916477,-87.665066
288,James R Doolittle Jr Elementary School,"535 E 35th St, Chicago, IL 60616",49,31,22,15,22,41.8306422,-87.6122838
289,James Russell Lowell Elementary School,"3320 W Hirsch St, Chicago, IL 60651",65,72,60,75,49,41.9067442,-87.71041110000002
290,James Shields Elementary School,"4250 S Rockwell St, Chicago, IL 60632",-1,70,61,72,-1,41.8162824,-87.6900074
291,James Shields Middle School,"2611 W 48th St, Chicago, IL 60632",80,88,80,65,38,41.80628189999999,-87.68998359999999
292,James Wadsworth Elementary School,"6650 S Ellis Ave, Chicago, IL 60637",86,52,52,47,60,41.774602,-87.60127299999999
293,James Ward Elementary School,"2701 S Shields Ave, Chicago, IL 60616",59,70,69,84,37,41.8434618,-87.63509529999999
294,James Weldon Johnson Elementary School,"1420 S Albany Ave, Chicago, IL 60623",89,83,66,51,58,41.8619073,-87.7035183
295,Jane A Neil Elementary School,"8555 S Michigan Ave, Chicago, IL 60619",60,50,44,49,35,41.7386141,-87.62057639999999
296,Jane Addams Elementary School,"10810 S Avenue H, Chicago, IL 60617",72,68,48,66,47,41.6978741,-87.5337129
297,Jean Baptiste Beaubien Elementary School,"5025 N Laramie Ave, Chicago, IL 60630",78,58,63,74,57,41.9721047,-87.7570358
298,Jensen Elementary Scholastic Academy,"3030 W Harrison St, Chicago, IL 60612",-1,67,57,64,-1,41.87402170000001,-87.70224809999999
299,Jesse Owens Elementary Community Academy,"12302 S State St, Chicago, IL 60628",90,67,61,59,84,41.6705466,-87.62318929999999
300,Jesse Sherwood Elementary School,"245 W 57th St, Chicago, IL 60621",94,63,56,77,85,41.7906188,-87.63216899999999
301,Johann W von Goethe Elementary School,"2236 N Rockwell St, Chicago, IL 60647",64,74,66,83,36,41.9226323,-87.6931967
302,John A Walsh Elementary School,"2015 S Peoria St, Chicago, IL 60608",66,61,42,73,33,41.85465869999999,-87.6479006
303,John B Drake Elementary School,"2710 S Dearborn St, Chicago, IL 60616",89,80,74,86,84,41.8434037,-87.6286981
304,John B Murphy Elementary School,"3539 W Grace St, Chicago, IL 60618",88,37,38,67,75,41.9497364,-87.7170874
305,John Barry Elementary School,"2828 N Kilbourn Ave, Chicago, IL 60641",67,59,59,66,41,41.9325055,-87.7397302
306,John C Burroughs Elementary School,"3542 S Washtenaw Ave, Chicago, IL 60632",77,72,69,67,59,41.8288313,-87.69269709999999
307,John C Coonley Elementary School,"4046 N Leavitt St, Chicago, IL 60618",73,78,69,98,56,41.9554822,-87.6839294
308,John C Dore Elementary School,"6108 S Natoma Ave, Chicago, IL 60638",73,72,60,80,37,41.7803812,-87.78778489999999
309,John Charles Haines Elementary School,"247 W 23rd Pl, Chicago, IL 60616",61,54,54,71,52,41.8498294,-87.63367629999999
310,John D Shoop Math-Science Technical Academy ES,"11140 S Bishop St, Chicago, IL 60643",93,67,66,53,89,41.6910049,-87.6587826
311,John F Eberhart Elementary School,"3400 W 65th Pl, Chicago, IL 60629",87,49,57,62,52,41.774628,-87.70833510000001
312,John F Kennedy High School,"6325 W 56th St, Chicago, IL 60638",71,42,30,57,50,41.7902256,-87.78031639999999
313,John Fiske Elementary School,"6020 S Langley Ave, Chicago, IL 60637",99,95,90,99,85,41.7852002,-87.60899529999999
314,John Foster Dulles Elementary School,"6311 S Calumet Ave, Chicago, IL 60637",79,53,55,47,66,41.7799226,-87.6167095
315,John Greenleaf Whittier Elementary School,"1900 W 23rd St, Chicago, IL 60608",84,87,76,97,56,41.8507608,-87.6746993
316,John H Hamline Elementary School,"4747 S Bishop St, Chicago, IL 60609",47,37,28,46,29,41.8072923,-87.6609932
317,John H Kinzie Elementary School,"5625 S Mobile Ave, Chicago, IL 60638",85,88,72,89,64,41.7892253,-87.7811371
318,John H Vanderpoel Elementary Magnet School,"9510 S Prospect Ave, Chicago, IL 60643",64,39,30,64,60,41.720576,-87.6658575
319,John Hancock College Preparatory High School,"4034 W 56th St, Chicago, IL 60629",91,78,74,78,71,41.7919642,-87.7249427
320,John Harvard Elementary School of Excellence,"7525 S Harvard, Chicago, IL 60620",64,69,66,48,35,41.7578672,-87.6322884
321,John Hay Elementary Community Academy,"1018 N Laramie Ave, Chicago, IL 60651",78,69,57,62,31,41.8995886,-87.7564206
322,John J Audubon Elementary School,"3500 N Hoyne Ave, Chicago, IL 60618",66,64,50,78,59,41.9453833,-87.6811506
323,John J Pershing Elementary Humanities Magnet,"3200 S Calumet Ave, Chicago, IL 60616",95,67,50,69,77,41.8360169,-87.6185579
324,John L Marsh Elementary School,"9822 S Exchange Ave, Chicago, IL 60617",71,50,53,60,54,41.7164104,-87.5531051
325,John M Harlan Community Academy High School,"9652 S Michigan Ave, Chicago, IL 60628",64,32,31,39,48,41.71761,-87.6215689
326,John Marshall Metropolitan High School,"3250 W Adams St, Chicago, IL 60624",90,75,56,81,80,41.8790699,-87.70656199999999
327,John Milton Gregory Elementary School,"3715 W Polk St, Chicago, IL 60624",81,76,70,49,60,41.8704694,-87.7185817
328,John Palmer Elementary School,"5051 N Kenneth Ave, Chicago, IL 60630",73,51,54,69,57,41.9729883,-87.738884
329,John Spry Elementary Community School,"2400 S Marshall Blvd, Chicago, IL 60623",66,49,46,62,42,41.8475985,-87.69978019999999
330,John T McCutcheon Elementary School,"4865 N Sheridan Rd, Chicago, IL 60640",98,75,70,63,89,41.9711442,-87.6544905
331,John T Pirie Fine Arts & Academic Center ES,"650 E 85th St, Chicago, IL 60619",79,73,61,61,47,41.7406612,-87.60830089999999
332,John W Cook Elementary School,"8150 S Bishop St, Chicago, IL 60620",75,48,11,40,51,41.745843,-87.66003959999999
333,John W Garvy Elementary School,"5225 N Oak Park Ave, Chicago, IL 60656",67,55,52,71,44,41.9762615,-87.79592989999999
334,John Whistler Elementary School,"11533 S Ada St, Chicago, IL 60643",85,62,65,79,60,41.6841424,-87.6549532
335,Johnnie Colemon Elementary Academy,"1441 W 119th St, Chicago, IL 60643",96,82,73,79,67,41.6773755,-87.65703169999999
336,Jonathan Burr Elementary School,"1621 W Wabansia Ave, Chicago, IL 60622",94,84,76,88,80,41.9122618,-87.6683613
337,Jonathan Y Scammon Elementary School,"4201 W Henderson St, Chicago, IL 60641",77,52,56,62,47,41.9411117,-87.7332486
338,Jordan Elementary Community School,"7414 N Wolcott Ave, Chicago, IL 60626",62,39,39,48,41,42.0171179,-87.6780632
339,Jose De Diego Elementary Community Academy,"1313 N Claremont Ave, Chicago, IL 60622",69,75,67,75,42,41.9060903,-87.6854652
340,Josefa Ortiz De Dominguez Elementary School,"3000 S Lawndale Ave, Chicago, IL 60623",-1,56,66,70,-1,41.8381774,-87.7176475
341,Joseph Brennemann Elementary School,"4251 N Clarendon Ave, Chicago, IL 60613",-1,70,72,68,-1,41.9600422,-87.6492392
342,Joseph E Gary Elementary School,"3740 W 31st St, Chicago, IL 60623",78,55,47,70,52,41.8378931,-87.71888380000001
343,Joseph Jungman Elementary School,"1746 S Miller St, Chicago, IL 60608",93,57,60,64,87,41.8585937,-87.65248179999999
344,Joseph Kellman Corporate Community ES,"3030 W Arthington St, Chicago, IL 60612",71,65,46,72,33,41.8703026,-87.70224689999999
345,Joseph Lovett Elementary School,"6333 W Bloomingdale Ave, Chicago, IL 60639",92,68,56,78,59,41.9124905,-87.78422979999999
346,Joseph Warren Elementary School,"9239 S Jeffery Ave, Chicago, IL 60617",88,64,61,46,66,41.7268306,-87.5751914
347,Josephine C Locke Elementary School,"2828 N Oak Park Ave, Chicago, IL 60634",91,79,68,84,68,41.9316578,-87.79592989999999
348,Joshua D Kershaw Elementary School,"6450 S Lowe Ave, Chicago, IL 60621",72,65,58,73,46,41.7765492,-87.6415407
349,Josiah Pickard Elementary School,"2301 W 21st Pl, Chicago, IL 60608",78,81,80,93,59,41.8522534,-87.6840804
350,Joyce Kilmer Elementary School,"6700 N Greenview Ave, Chicago, IL 60626",97,57,50,75,79,42.0041643,-87.66842179999999
351,Julia Ward Howe Elementary School of Excellence,"720 N Lorel Ave, Chicago, IL 60644",75,32,38,27,41,41.8938451,-87.76003469999999
352,KIPP Academy Chicago Campus,"4818 W Ohio St, Chicago, IL 60644",95,93,85,68,65,41.8916476,-87.7467302
353,KIPP Ascend Charter School,"1616 S Avers Ave, Chicago, IL 60623",86,58,48,54,45,41.8581248,-87.7219563
354,KIPP Chicago Charter School - KIPP Bloom,"5515 S Lowe Ave, Chicago, IL 60621",87,72,67,69,40,41.7935487,-87.6410011
355,KIPP One Academy,"730 N Pulaski Rd, Chicago, IL 60624",99,86,72,78,94,41.8941496,-87.72646209999999
356,Kate S Kellogg Elementary School,"9241 S Leavitt St, Chicago, IL 60620",88,78,68,82,70,41.7251914,-87.67683629999999
357,Kelvyn Park High School,"4343 W Wrightwood Ave, Chicago, IL 60639",59,72,43,52,48,41.9272439,-87.7359639
358,Kenwood Academy High School,"5015 S Blackstone Ave, Chicago, IL 60615",98,80,72,91,74,41.8032019,-87.58962670000001
359,Kwame Nkrumah Academy Charter School,"314 W 108th St, Chicago, IL 60628",56,22,24,28,13,41.69725589999999,-87.6311154
360,L.E.A.R.N. - 7th Campus,"3021 W Carroll Ave, Chicago, IL 60612",-1,47,53,51,-1,41.8874947,-87.70252339999999
361,L.E.A.R.N. - Charles and Dorothy Campbell Campus,"212 S Francisco Ave, Chicago, IL 60612",-1,95,89,97,-1,41.8779877,-87.6990118
362,L.E.A.R.N. - Excel Campus,"3021 W Carroll Ave, Chicago, IL 60612",-1,92,87,98,-1,41.8874947,-87.70252339999999
363,L.E.A.R.N. - Hunter Perkins Campus,"1700 W. 83rd Street, Chicago, IL 60620",67,78,79,70,40,41.7433783,-87.66595389999999
364,L.E.A.R.N. - Middle School Campus,"3021 W Carroll Ave, Chicago, IL 60612",78,61,72,36,34,41.8874947,-87.70252339999999
365,L.E.A.R.N. - Romano Butler Campus,"1132 S Homan Ave, Chicago, IL 60624",71,51,52,41,36,41.8670964,-87.7109796
366,L.E.A.R.N. - South Chicago Campus,"8914 S. Buffalo Avenue, Chicago, IL 60617",85,55,49,42,33,41.7331839,-87.54476199999999
367,LaSalle Elementary Language Academy,"1734 N Orleans St, Chicago, IL 60614",81,55,39,73,67,41.9138023,-87.6378393
368,LaSalle II Magnet Elementary School,"1148 N Honore St, Chicago, IL 60622",70,77,73,80,48,41.9026912,-87.6744482
369,Lake View High School,"4015 N Ashland Ave, Chicago, IL 60613",52,48,30,51,44,41.9551713,-87.668517
370,Langston Hughes Elementary School,"240 W 104th St, Chicago, IL 60628",75,65,59,58,33,41.70587039999999,-87.6293582
371,Laughlin Falconer Elementary School,"3020 N Lamon Ave, Chicago, IL 60641",81,69,62,66,65,41.9355753,-87.7501048
372,Laura S Ward Elementary School,"646 N Lawndale Ave, Chicago, IL 60624",96,61,59,69,57,41.8931181,-87.7190318
373,Lawndale Elementary Community Academy,"3500 W Douglas Blvd, Chicago, IL 60623",78,52,40,44,37,41.8631549,-87.7132915
374,Lazaro Cardenas Elementary School,"2345 S Millard Ave, Chicago, IL 60623",-1,71,73,68,-1,41.8483814,-87.7157926
375,Legacy Charter School,"3318 West Ogden Ave, Chicago, IL 60623",79,54,55,58,53,41.8568682,-87.7084938
376,Legal Prep Charter Academy,"4319 W Washington Blvd, Chicago, IL 60612",64,67,67,53,48,41.88147,-87.73380639999999
377,Leif Ericson Elementary Scholastic Academy,"3600 W 5th Ave, Chicago, IL 60624",77,52,63,62,32,41.8760781,-87.7161828
378,Lenart Elementary Regional Gifted Center,"8101 S Lasalle St, Chicago, IL 60620",46,43,52,83,45,41.7465803,-87.6276616
379,Leslie Lewis Elementary School,"1431 N Leamington Ave, Chicago, IL 60651",99,96,88,82,75,41.9071425,-87.7542673
380,Lillian R. Nicholson STEM Academy,"6006 S Peoria St, Chicago, IL 60621",-1,16,10,29,-1,41.7845987,-87.6477079
381,Lincoln Park High School,"2001 N Orchard St, Chicago, IL 60614",80,-1,-1,-1,49,41.9193918,-87.6455484
382,Lionel Hampton Fine & Performing Arts ES,"3434 W 77th St, Chicago, IL 60652",46,66,49,59,22,41.75381,-87.7084096
383,Little Black Pearl Art and Design Academy,"1060 E 47th St, Chicago, IL 60653",92,-1,-1,-1,63,41.8100142,-87.5995841
384,Little Village Elementary School,"2620 S Lawndale Ave, Chicago, IL 60623",60,59,63,55,46,41.8429887,-87.7174933
385,Logandale Middle School,"3212 W George St, Chicago, IL 60618",64,73,63,69,44,41.9341239,-87.7079477
386,Lorenz Brentano Math & Science Academy ES,"2723 N Fairfield Ave, Chicago, IL 60647",80,68,63,78,38,41.9309437,-87.696091
387,Louis A Agassiz Elementary School,"2851 N Seminary Ave, Chicago, IL 60657",83,95,78,96,68,41.9340008,-87.65572089999999
388,Louis Nettelhorst Elementary School,"3252 N Broadway St, Chicago, IL 60657",43,48,48,77,31,41.9413287,-87.6446629
389,Louis Pasteur Elementary School,"5825 S Kostner Ave, Chicago, IL 60629",-1,59,50,66,-1,41.7871479,-87.7324652
390,Louisa May Alcott College Preparatory ES,"2625 N Orchard St, Chicago, IL 60614",67,61,53,93,39,41.9295783,-87.6458976
391,Louisa May Alcott College Preparatory HS,"2957 N Hoyne Ave, Chicago, IL 60618",88,95,90,99,77,41.9355734,-87.6802278
392,Ludwig Van Beethoven Elementary School,"25 W 47th St, Chicago, IL 60609",77,39,31,63,38,41.8082584,-87.6275074
393,Luke O'Toole Elementary School,"6550 S Seeley Ave, Chicago, IL 60636",86,72,60,55,59,41.7741306,-87.67544970000002
394,Luther Burbank Elementary School,"2035 N Mobile Ave, Chicago, IL 60639",87,84,79,81,75,41.917759,-87.7822516
395,Lyman A Budlong Elementary School,"2701 W Foster Ave, Chicago, IL 60625",84,63,53,72,57,41.975251,-87.6968584
396,Mahalia Jackson Elementary School,"917 W 88th St, Chicago, IL 60620",59,55,41,52,44,41.7339092,-87.6466287
397,Mancel Talcott Elementary School,"1840 W Ohio St, Chicago, IL 60622",67,70,47,71,45,41.8926909,-87.6742248
398,Manley Career Academy High School,"2935 W Polk St, Chicago, IL 60612",75,69,65,64,41,41.8704946,-87.7004769
399,Manuel Perez Elementary School,"1241 W 19th St, Chicago, IL 60608",99,83,73,84,92,41.8556781,-87.6579588
400,Marcus Moziah Garvey Elementary School,"10309 S Morgan St, Chicago, IL 60643",75,83,77,75,46,41.7065448,-87.64709119999999
401,Maria Saucedo Elementary Scholastic Academy,"2850 W 24th Blvd, Chicago, IL 60623",57,40,40,64,36,41.8485621,-87.69784399999999
402,Mariano Azuela Elementary School,"4707 W Marquette Rd, Chicago, IL 60629",63,49,38,59,40,41.7706659,-87.7399087
403,Marie Sklodowska Curie Metropolitan High School,"4959 S Archer Ave, Chicago, IL 60632",60,54,46,52,48,41.8018544,-87.72187939999999
404,Marine Leadership Academy at Ames,"1920 N Hamlin Ave, Chicago, IL 60647",90,76,74,80,63,41.9159713,-87.7224181
405,Mark Sheridan Math & Science Academy,"533 W 27th St, Chicago, IL 60616",57,63,52,62,43,41.8442436,-87.6412299
406,Mark Skinner Elementary School,"1260 W Adams St, Chicago, IL 60607",67,-1,-1,-1,42,41.8793561,-87.6591146
407,Mark Twain Elementary School,"5134 S Lotus Ave, Chicago, IL 60638",58,54,60,54,34,41.7990971,-87.7593363
408,Marquette Elementary School,"6550 S Richmond St, Chicago, IL 60629",77,52,44,53,45,41.7745537,-87.69735899999999
409,Martha Ruggles Elementary School,"7831 S Prairie Ave, Chicago, IL 60619",92,70,57,65,62,41.7522805,-87.61763520000001
410,Marvin Camras Elementary School,"3000 N Mango Ave, Chicago, IL 60634",62,71,52,61,47,41.9353512,-87.7704031
411,Mary E Courtenay Elementary Language Arts Center,"4420 N Beacon St, Chicago, IL 60640",75,58,51,63,48,41.9620627,-87.66466319999999
412,Mary E McDowell Elementary School,"1419 E 89th St, Chicago, IL 60619",-1,79,83,62,-1,41.7328123,-87.589781
413,Mary Gage Peterson Elementary School,"5510 N Christiana Ave, Chicago, IL 60625",72,61,63,64,51,41.9821574,-87.7132592
414,Mary Lyon Elementary School,"2941 N Mcvicker Ave, Chicago, IL 60634",55,69,63,71,31,41.93384349999999,-87.7766407
415,Matthew Gallistel Elementary Language Academy,"10347 S Ewing Ave, Chicago, IL 60617",72,65,62,75,54,41.7068478,-87.5350265
416,Medgar Evers Elementary School,"9811 S Lowe Ave, Chicago, IL 60628",87,85,68,87,45,41.7157113,-87.63891939999999
417,Melville W Fuller Elementary School,"4214 S St Lawrence Ave, Chicago, IL 60653",91,60,57,43,83,41.8181936,-87.6122372
418,Michael Faraday Elementary School,"3250 W Monroe St, Chicago, IL 60624",92,84,71,86,53,41.8798883,-87.7082623
419,Michael M Byrne Elementary School,"5329 S Oak Park Ave, Chicago, IL 60638",61,61,54,69,36,41.79511919999999,-87.79078179999999
420,Michele Clark Academic Prep Magnet High School,"5101 W Harrison St, Chicago, IL 60644",61,59,44,61,39,41.87254069999999,-87.7527211
421,Mildred I Lavizzo Elementary School,"138 W 109th St, Chicago, IL 60628",83,72,61,69,47,41.6964876,-87.6270447
422,Milton Brunson Math & Science Specialty ES,"932 N Central Ave, Chicago, IL 60651",68,75,59,62,26,41.8972904,-87.7658014
423,Minnie Mars Jamieson Elementary School,"5650 N Mozart St, Chicago, IL 60659",71,70,70,81,43,41.9837696,-87.7009418
424,Morgan Park High School,"1744 W Pryor Ave, Chicago, IL 60643",74,51,39,47,39,41.6919932,-87.6660502
425,Morton School of Excellence,"431 N Troy St, Chicago, IL 60612",88,64,59,55,78,41.8892674,-87.7047083
426,Mount Greenwood Elementary School,"10841 S Homan Ave, Chicago, IL 60655",98,91,80,94,98,41.6965132,-87.70517629999999
427,Mount Vernon Elementary School,"10540 S Morgan St, Chicago, IL 60643",89,68,56,57,55,41.7022519,-87.648286
428,Moving Everest Charter School,"416 N Laramie Ave, Chicago, IL 60644",-1,59,66,35,-1,41.88838,-87.755741
429,Multicultural Academy of Scholarship,"3120 S Kostner Ave, Chicago, IL 60623",60,59,47,64,52,41.8354286,-87.73565289999999
430,Myra Bradwell Communications Arts & Sciences ES,"7736 S Burnham Ave, Chicago, IL 60649",73,41,51,29,50,41.7549922,-87.55781669999999
431,Namaste Charter School,"3737 S Paulina St, Chicago, IL 60609",39,25,21,59,21,41.825686,-87.66743710000001
432,Nancy B Jefferson Alternative HS,"1100 S Hamilton Ave, Chicago, IL 60612",57,88,82,91,36,41.8676707,-87.681079
