,Address,Ambitious_Instruction,Collaborative_Teachers,Effective_Leaders,Involved_Families,Supportive_Environment
Christian Fenger Academy High School,"11220 S Wallace St, Chicago, IL 60628",96,78,71,58,74
Christopher Columbus Elementary School,"1003 N Leavitt St, Chicago, IL 60622",95,86,72,97,82
Christopher House Charter School,"5235 W Belden Ave, Chicago, IL 60639",-1,56,52,78,-1
Clara Barton Elementary School,"7650 S Wolcott Ave, Chicago, IL 60620",82,59,51,56,52
Claremont Academy Elementary School,"2300 W 64th St, Chicago, IL 60636",97,66,60,62,80
Collins Academy High School,"1313 S Sacramento Dr, Chicago, IL 60623",89,74,68,45,80
Columbia Explorers Elementary Academy,"4520 S Kedzie Ave, Chicago, IL 60632",75,65,69,61,54
Consuella B York Alternative HS,"2700 S California Ave, Chicago, IL 60608",64,59,64,40,40
Countee Cullen Elementary School,"10650 S Eberhart Ave, Chicago, IL 60628",98,63,58,36,70
Crown Community Academy of Fine Arts Center ES,"2128 S Saint Louis Ave, Chicago, IL 60623",92,75,65,66,86
Cyrus H McCormick Elementary School,"2712 S Sawyer Ave, Chicago, IL 60623",-1,62,64,71,-1
Daniel Boone Elementary School,"6710 N Washtenaw Ave, Chicago, IL 60645",86,79,67,73,62
Daniel C Beard Elementary School,"6445 W Strong St, Chicago, IL 60656",-1,92,83,99,-1
Daniel Hale Williams Prep School of Medicine,"4934 S Wabash Ave, Chicago, IL 60615",88,89,80,95,62
Daniel J Corkery Elementary School,"2510 S Kildare Ave, Chicago, IL 60623",64,54,46,70,35
Daniel R Cameron Elementary School,"1234 N Monticello Ave, Chicago, IL 60651",95,68,63,65,58
Daniel S Wentworth Elementary School,"1340 W 71st St, Chicago, IL 60636",67,37,48,43,33
Daniel Webster Elementary School,"4055 W Arthington St, Chicago, IL 60624",82,52,52,45,85
David G Farragut Career Academy High School,"2345 S Christiana Ave, Chicago, IL 60623",70,55,50,54,58
DeVry University Advantage Academy HS,"3300 N Campbell Ave, Chicago, IL 60618",85,92,82,-1,85
DeWitt Clinton Elementary School,"6110 N Fairfield Ave, Chicago, IL 60659",98,79,71,80,94
Dewey Elementary Academy of Fine Arts,"5415 S Union Ave, Chicago, IL 60609",91,78,74,74,80
Disney II Magnet High School,"3900 N Lawndale Ave, Chicago, IL 60618",74,76,58,93,58
Disney II Magnet School,"3815 N Kedvale Ave, Chicago, IL 60641",92,86,67,94,68
Donald Morrill Math & Science Elementary School,"6011 S Rockwell St, Chicago, IL 60629",44,21,15,35,31
Douglas Taylor Elementary School,"9912 S Avenue H, Chicago, IL 60617",46,32,8,51,33
Dr Martin Luther King Jr College Prep HS,"4445 S Drexel Blvd, Chicago, IL 60653",81,41,39,53,56
Dr Jorge Prieto Math and Science,"2231 N Central Ave, Chicago, IL 60639",65,46,39,51,26
Dr. Martin L. King Jr Academy of Social Justice,"644 W 71st St, Chicago, IL 60621",52,42,45,29,47
Dunne Technology Academy,"10845 S Union Ave, Chicago, IL 60628",99,84,68,71,99
Durkin Park Elementary School,"8445 S Kolin Ave, Chicago, IL 60652",74,67,68,75,47
Dvorak Technology Academy,"3615 W 16th St, Chicago, IL 60623",90,71,62,46,67
EPIC Academy Charter High School,"8255 S Houston Ave, Chicago, IL 60617",87,59,57,60,63
Edgar Allan Poe Elementary Classical School,"10538 S Langley Ave, Chicago, IL 60628",90,60,46,89,49
Edgebrook Elementary School,"6525 N Hiawatha Ave, Chicago, IL 60646",70,58,63,70,57
Edison Park Elementary School,"6220 N Olcott Ave, Chicago, IL 60631",69,35,49,72,56
Edmond Burke Elementary School,"5356 S King Dr, Chicago, IL 60615",74,66,60,58,59
Edward A Bouchet Math & Science Academy ES,"7355 S Jeffery Blvd, Chicago, IL 60649",96,87,71,77,69
Edward Beasley Elementary Magnet Academic Center,"5255 S State St, Chicago, IL 60609",82,70,51,78,45
Edward Coles Elementary Language Academy,"8441 S Yates Blvd, Chicago, IL 60617",87,56,48,36,36
Edward Everett Elementary School,"3419 S Bell Ave, Chicago, IL 60608",-1,83,71,90,-1
Edward Jenner Elementary Academy of the Arts,"1119 N Cleveland Ave, Chicago, IL 60610",53,34,30,45,40
Edward K Ellington Elementary School,"243 N Parkside Ave, Chicago, IL 60644",92,66,63,59,95
Edward N Hurley Elementary School,"3849 W 69th Pl, Chicago, IL 60629",60,62,48,66,38
Edward Tilden Career Community Academy HS,"4747 S Union Ave, Chicago, IL 60609",61,72,60,43,49
Edward White Elementary Career Academy,"1136 W 122nd St, Chicago, IL 60643",69,53,52,50,44
Edwin G. Foreman College and Career Academy,"3235 N Leclaire Ave, Chicago, IL 60641",73,35,23,39,59
Eli Whitney Elementary School,"2815 S Komensky Ave, Chicago, IL 60623",64,46,39,52,39
Eliza Chappell Elementary School,"2135 W Foster Ave, Chicago, IL 60625",80,80,77,94,60
Elizabeth H Sutherland Elementary School,"10015 S Leavitt St, Chicago, IL 60643",59,58,65,81,41
Ella Flagg Young Elementary School,"1434 N Parkside Ave, Chicago, IL 60651",71,64,58,74,39
Ellen H Richards Career Academy High School,"5009 S Laflin St, Chicago, IL 60609",46,50,59,37,42
Ellen Mitchell Elementary School,"2233 W Ohio St, Chicago, IL 60612",87,91,81,94,72
Emil G Hirsch Metropolitan High School,"7740 S Ingleside Ave, Chicago, IL 60619",78,55,44,51,80
Emiliano Zapata Elementary Academy,"2728 S Kostner Ave, Chicago, IL 60623",92,71,71,73,69
Emmett Louis Till Math and Science Academy,"6543 S Champlain Ave, Chicago, IL 60637",93,71,58,60,87
Enrico Tonti Elementary School,"5815 S Homan Ave, Chicago, IL 60629",-1,38,38,46,-1
Eric Solorio Academy High School,"5400 S St Louis Ave, Chicago, IL 60632",80,81,70,64,70
Erie Elementary Charter School,"1405 N Washtenaw Ave, Chicago, IL 60622",47,38,33,44,33
Ernst Prussing Elementary School,"4650 N Menard Ave, Chicago, IL 60630",62,53,51,63,34
Esmond Elementary School,"1865 W Montvale Ave, Chicago, IL 60643",80,75,71,81,42
Eugene Field Elementary School,"7019 N Ashland Ave, Chicago, IL 60626",87,91,74,81,47
Everett McKinley Dirksen Elementary School,"8601 W Foster Ave, Chicago, IL 60656",48,56,55,55,31
Evergreen Academy Middle School,"3537 S Paulina St, Chicago, IL 60609",97,92,93,87,69
Fairfield Elementary Academy,"6201 S Fairfield Ave, Chicago, IL 60629",63,32,39,48,32
Federico Garcia Lorca Elementary School,"3231 N Springfield Ave, Chicago, IL 60618",75,64,58,62,52
Ferdinand Peck Elementary School,"3826 W 58th St, Chicago, IL 60629",-1,85,75,92,-1
Fernwood Elementary School,"10041 S Union Ave, Chicago, IL 60628",91,67,65,56,93
Florence Nightingale Elementary School,"5250 S Rockwell St, Chicago, IL 60632",75,57,60,73,50
Fort Dearborn Elementary School,"9025 S Throop St, Chicago, IL 60620",71,50,47,30,43
Foster Park Elementary School,"8530 S Wood St, Chicago, IL 60620",89,58,54,67,89
Foundations College Preparatory Charter School,"1233 W 109th Pl, Chicago, IL 60643",90,69,65,51,45
Francis M McKay Elementary School,"6901 S Fairfield Ave, Chicago, IL 60629",88,76,68,60,43
Francis W Parker Elementary Community Academy,"6800 S Stewart Ave, Chicago, IL 60621",78,81,65,60,36
Francisco I Madero Middle School,"3202 W 28th St, Chicago, IL 60623",86,84,85,75,53
Frank I Bennett Elementary School,"10115 S Prairie Ave, Chicago, IL 60628",97,68,67,54,45
Frank L Gillespie Elementary School,"9301 S State St, Chicago, IL 60619",83,66,62,60,69
Frank W Gunsaulus Elementary Scholastic Academy,"4420 S Sacramento Ave, Chicago, IL 60632",80,76,56,84,54
Frank W Reilly Elementary School,"3650 W School St, Chicago, IL 60618",57,33,32,55,41
Franklin Elementary Fine Arts Center,"225 W Evergreen Ave, Chicago, IL 60610",73,63,50,82,40
Franz Peter Schubert Elementary School,"2727 N Long Ave, Chicago, IL 60639",-1,60,53,80,-1
Frazier Preparatory Academy Charter School,"3711 W Douglas Blvd, Chicago, IL 60623",46,18,19,31,14
Frazier Prospective IB Magnet ES,"4027 W Grenshaw St, Chicago, IL 60624",89,68,52,64,62
Frederic Chopin Elementary School,"2450 W Rice St, Chicago, IL 60622",41,45,52,50,18
Frederick A Douglass Academy High School,"543 N Waller Ave, Chicago, IL 60644",74,79,61,56,71
Frederick Funston Elementary School,"2010 N Central Park Ave, Chicago, IL 60647",72,47,43,61,58
Frederick Stock Elementary School,"7507 W Birchwood Ave, Chicago, IL 60631",-1,77,66,98,-1
Friedrich L. Jahn Elementary of the Fine Arts,"3149 N Wolcott Ave, Chicago, IL 60657",59,36,32,53,50
Friedrich W von Steuben Metropolitan Science HS,"5039 N Kimball Ave, Chicago, IL 60625",75,68,48,74,63
Gage Park High School,"5630 S Rockwell St, Chicago, IL 60629",49,62,51,72,40
Galileo Math & Science Scholastic Academy ES,"820 S Carpenter St, Chicago, IL 60607",68,46,56,57,38
Genevieve Melody Elementary School,"3937 W Wilcox St, Chicago, IL 60624",82,56,50,48,67
George Armstrong International Studies ES,"2110 W Greenleaf Ave, Chicago, IL 60645",86,91,77,87,58
George B McClellan Elementary School,"3527 S Wallace St, Chicago, IL 60609",65,68,58,78,37
George B Swift Elementary Specialty School,"5900 N Winthrop Ave, Chicago, IL 60660",66,45,41,66,40
George F Cassell Elementary School,"11314 S Spaulding Ave, Chicago, IL 60655",90,63,61,72,71
George H Corliss High School,"821 E 103rd St, Chicago, IL 60628",65,61,51,55,45
George Leland Elementary School,"512 S Lavergne Ave, Chicago, IL 60644",72,91,83,90,28
George M Pullman Elementary School,"11311 S Forrestville Ave, Chicago, IL 60628",78,40,45,57,55
