,Address,Ambitious_Instruction,Collaborative_Teachers,Effective_Leaders,Involved_Families,Supportive_Environment
The Montessori School of Englewood Charter,"6936 S Hermitage Ave, Chicago, IL 60636",-1,31,35,26,-1
Theodore Herzl Elementary School,"3711 W Douglas Blvd, Chicago, IL 60623",91,64,67,70,62
Theodore Roosevelt High School,"3436 W Wilson Ave, Chicago, IL 60625",64,68,56,60,50
Theophilus Schmid Elementary School,"9755 S Greenwood Ave, Chicago, IL 60628",95,60,51,60,57
Thomas A Edison Regional Gifted Center ES,"4929 N Sawyer Ave, Chicago, IL 60625",51,61,56,96,47
Thomas A Hendricks Elementary Community Academy,"4316 S Princeton Ave, Chicago, IL 60609",84,54,54,47,77
Thomas Chalmers Specialty Elementary School,"2745 W Roosevelt Rd, Chicago, IL 60608",58,32,31,23,29
Thomas Drummond Elementary School,"1845 W Cortland St, Chicago, IL 60622",70,38,51,81,59
Thomas Hoyne Elementary School,"8905 S Crandon Ave, Chicago, IL 60617",88,55,47,57,46
Thomas J Higgins Elementary Community Academy,"11710 S Morgan St, Chicago, IL 60643",81,56,47,50,59
Thomas J Waters Elementary School,"4540 N Campbell Ave, Chicago, IL 60625",79,76,67,93,60
Thomas Kelly High School,"4136 S California Ave, Chicago, IL 60632",61,63,56,68,45
Turner-Drew Elementary Language Academy,"9300 S Princeton Ave, Chicago, IL 60620",81,80,67,77,48
University of Chicago - Carter G. Woodson,"4444 S. Evans Avenue, Chicago, IL 60653",60,18,37,7,20
University of Chicago - Donoghue,"707 E. 37th Street, Chicago, IL 60653",-1,68,66,78,-1
University of Chicago - North Kenwood/Oakland,"1119 E. 46th Street, Chicago, IL 60653",-1,30,43,59,-1
University of Chicago - Woodlawn,"6300 S University Ave, Chicago, IL 60637",76,21,30,42,42
Uplift Community High School,"900 W Wilson Ave, Chicago, IL 60640",58,33,11,32,53
Urban Prep Academy for Young Men - Bronzeville,"521 E 35th St, Chicago, IL 60616",57,27,39,34,48
Urban Prep Academy for Young Men - Englewood,"6201 S Stewart Ave, Chicago, IL 60621",-1,39,52,56,-1
Urban Prep Charter Academy for Young Men - West,"1326 W 14th Pl, Chicago, IL 60608",-1,91,72,96,-1
Velma F Thomas Early Childhood Center,"3625 S Hoyne Ave, Chicago, IL 60609",-1,44,42,78,-1
Virgil Grissom Elementary School,"12810 S Escanaba Ave, Chicago, IL 60633",72,40,56,65,37
Walt Disney Magnet Elementary School,"4140 N Marine Dr, Chicago, IL 60613",66,47,39,51,52
Walter Henri Dyett High School for the Arts,"555 E 51st St, Chicago, IL 60615",92,86,71,81,65
Walter L Newberry Math & Science Academy ES,"700 W Willow St, Chicago, IL 60614",90,67,58,77,66
Walter Payton College Preparatory High School,"1034 N Wells St, Chicago, IL 60610",99,51,51,86,92
Walter Q Gresham Elementary School,"8524 S Green St, Chicago, IL 60620",75,65,65,44,46
Walter S Christopher Elementary School,"5042 S Artesian Ave, Chicago, IL 60632",56,50,49,49,57
Washington D Smyser Elementary School,"4310 N Melvina Ave, Chicago, IL 60634",59,60,64,67,36
Washington Irving Elementary School,"749 S Oakley Blvd, Chicago, IL 60612",62,30,34,46,39
Wells Community Academy High School,"936 N Ashland Ave, Chicago, IL 60622",74,67,39,67,60
Wendell E Green Elementary School,"1150 W 96th St, Chicago, IL 60643",75,56,62,55,47
Wendell Phillips Academy High School,"244 E Pershing Rd, Chicago, IL 60653",85,61,57,41,58
Wendell Smith Elementary School,"744 E 103rd St, Chicago, IL 60628",77,44,47,45,76
West Park Elementary Academy,"1425 N Tripp Ave, Chicago, IL 60651",55,38,32,54,26
West Ridge Elementary School,"6700 N Whipple St, Chicago, IL 60645",71,53,51,59,56
Whitney M Young Magnet High School,"211 S Laflin St, Chicago, IL 60607",91,64,57,93,79
Wildwood IB World Magnet School,"6950 N Hiawatha Ave, Chicago, IL 60646",67,61,49,97,50
Willa Cather Elementary School,"2908 W Washington Blvd, Chicago, IL 60612",58,67,51,63,28
William B Ogden Elementary School,"24 W Walton St, Chicago, IL 60610",-1,34,31,72,-1
William Bishop Owen Scholastic Academy ES,"8247 S Christiana Ave, Chicago, IL 60652",77,66,71,82,38
William C Reavis Math & Science Specialty ES,"834 E 50th St, Chicago, IL 60615",96,82,76,81,87
William C. Goudy Technology Academy,"5120 N Winthrop Ave, Chicago, IL 60640",76,74,67,66,48
William E B Dubois Elementary School,"330 E 133rd St, Chicago, IL 60827",75,51,60,43,43
William E Dever Elementary School,"3436 N Osceola Ave, Chicago, IL 60634",82,78,73,75,36
William F Finkl Elementary School,"2332 S Western Ave, Chicago, IL 60608",93,74,53,85,64
William G Hibbard Elementary School,"3244 W Ainslie St, Chicago, IL 60625",70,68,58,69,51
William H Brown Elementary School,"54 N Hermitage Ave, Chicago, IL 60612",70,19,30,21,57
William H Prescott Elementary School,"1632 W Wrightwood Ave, Chicago, IL 60614",61,66,67,81,74
William H Ray Elementary School,"5631 S Kimbark Ave, Chicago, IL 60637",68,66,63,76,36
William H Ryder Math & Science Specialty ES,"8716 S Wallace St, Chicago, IL 60620",87,66,59,72,93
William H Seward Communication Arts Academy ES,"4600 S Hermitage Ave, Chicago, IL 60609",59,53,42,35,52
William Howard Taft High School,"6530 W Bryn Mawr Ave, Chicago, IL 60631",70,55,41,58,51
William J Bogan High School,"3939 W 79th St, Chicago, IL 60652",60,65,50,62,51
William J Onahan Elementary School,"6634 W Raven St, Chicago, IL 60631",69,62,56,75,46
William Jones College Preparatory High School,"700 S State St, Chicago, IL 60605",96,55,43,89,85
William K New Sullivan Elementary School,"8331 S Mackinaw Ave, Chicago, IL 60617",94,62,58,62,78
William P Gray Elementary School,"3730 N Laramie Ave, Chicago, IL 60641",79,89,71,79,53
William P Nixon Elementary School,"2121 N Keeler Ave, Chicago, IL 60639",80,69,66,60,49
William Penn Elementary School,"1616 S Avers Ave, Chicago, IL 60623",98,64,48,79,53
William Rainey Harper High School,"6520 S Wood St, Chicago, IL 60636",62,71,47,53,53
William T Sherman Elementary School,"1000 W 52nd St, Chicago, IL 60609",99,74,73,58,98
William W Carter Elementary School,"5740 S Michigan Ave, Chicago, IL 60637",69,82,71,56,33
Wilma Rudolph Elementary Learning Center,"1628 W Washington Blvd, Chicago, IL 60612",-1,31,40,44,-1
Wolfgang A Mozart Elementary School,"2200 N Hamlin Ave, Chicago, IL 60647",63,45,34,53,46
Woodlawn Community Elementary School,"6657 S Kimbark Ave, Chicago, IL 60637",99,73,61,74,71
World Language Academy High School,"3120 S Kostner Ave, Chicago, IL 60623",80,62,56,61,65
"YCCS - ASPIRA,Antonia Pantoja Alternative HS","3121 N Pulaski Rd, Chicago, IL 60641",72,-1,-1,-1,69
YCCS - Academy of Scholastic Achievement HS,"4651 W Madison St, Chicago, IL 60644",63,-1,-1,-1,63
YCCS - Association House HS,"1116 N Kedzie, 4th Floor Ave, Chicago, IL 60651",41,82,72,24,44
YCCS - Austin Career Education Center HS,"5352 W Chicago Ave, Chicago, IL 60651",99,-1,-1,-1,71
YCCS - CCA Academy HS,"1231 S Pulaski Rd, Chicago, IL 60623",76,-1,-1,-1,56
YCCS - Chatham AcademyHS,"9035 S Langley Ave, Chicago, IL 60619",76,38,46,55,76
YCCS - Dr. Pedro Albizu Campos Puerto Rican HS,"2739 W Division St, Chicago, IL 60622",67,23,29,25,57
YCCS - Innovations HS of Arts Integration,"17 N State St, Chicago, IL 60602",47,45,48,18,47
YCCS - Jane Addams Alternative HS,"1814 S Union Ave, Chicago, IL 60616",99,99,98,99,92
YCCS - Latino Youth Alternative HS,"2001 S California Ave, Chicago, IL 60608",-1,51,61,-1,-1
YCCS - McKinley Lakeside Leadership HS,"2920 S Wabash Ave, Chicago, IL 60616",57,18,7,-1,49
YCCS - Olive Harvey Middle College HS,"10001 S Woodlawn Ave, Chicago, IL 60628",68,58,55,-1,48
YCCS - Sullivan House Alternative HS,"8164 S South Chicago Ave, Chicago, IL 60617",89,59,67,48,60
YCCS - Truman Middle College HS,"1145 W Wilson Ave, Chicago, IL 60640",62,48,45,32,64
YCCS - West Town Acad Alternative HS,"500 N Sacramento Blvd, Chicago, IL 60612",-1,59,50,25,-1
YCCS - Westside Holistic Leadership Acad HS,"4909 W Division St, Chicago, IL 60651",74,-1,-1,-1,66
YCCS - Youth Connection Leadership Acad HS,"3424 S State St, Chicago, IL 60616",39,52,57,-1,39
Young Women's Leadership Charter School,"2641 S Calumet Ave, Chicago, IL 60616",91,61,60,57,57
